I0;PA500;HFS;DA;Area;A/DA;Max IP;DR;P;Class
389.872.977.709.524;0.150098315671512;0.0977384381116825;118.625.814.270.575;247.555.707.762.295;208.686.203.154.435;497.571.487.426.758;107.686.164.161.406;429.385.787.860.353;car
290.455.141.153.209;0.144164196214732;0.0530580092606274;746.350.666.440.604;118.954.521.290.185;15.938.154.360.803;357.033.309.936.523;655.413.244.608.587;330.267.292.895.697;car
275.677.393.360.123;0.1539380400259;0.18779742751459;915.278.933.392.938;175.623.483.738.825;191.879.739.969.311;393.051.834.106.445;826.586.821.528.497;33.158.830.166.733;car
470;0.213104701668508;0.225496539357667;184.590.056.576.661;818.536.083.722.613;443.434.548.373.234;844.824.829.101.562;164.122.510.730.824;603.315.715.078.586;car
423;0.219562419900887;0.261799387799149;172.371.241.022.963;610.810.629.652.469;354.357.621.391.783;790.563.507.080.078;153.172.902.874.464;558.274.515.328.047;car
410;0.317824456788167;0.297404104539833;255.815.179.076.492;106.225.471.101.291;415.243.033.993.412;675.232.086.181.641;246.742.825.543.826;508.540.356.016.855;car
500;0.227241868609662;0.0509636141582344;219.295.502.280.319;981.944.961.423.388;447.772.503.864.761;768.684.997.558.594;207.266.640.420.377;602.527.840.626.723;car
438.780.157.229.614;0.21240656996771;0.0607374579694027;120.901.596.412.629;487.949.557.586.941;403.592.319.758.625;807.917.785.644.531;899.437.864.190.632;525.420.149.435.082;car
366.942.379.098.452;0.28012534494509;0.252025543987982;172.745.553.738.697;706.481.590.905.569;4.089.723.733.059;756.043.243.408.203;155.322.284.925.201;471.588.195.379.786;car
48.566.880.545.435;0.230208928338052;0.134041286553165;253.893.698.607.259;813.596.835.907.403;320.447.825.357.782;648.554.458.618.164;245.470.530.643.686;541.363.975.056.977;car
390;0.358316095434436;0.203854456632938;245.686.103.066.248;1.005.583.687.254;409.296.120.010.031;703.247.833.251.953;236.490.169.666.511;477.548.359.960.487;car
269.495.946.291.776;0.207519648062126;0.0383972435438751;804.110.854.817.668;196.360.524.809.893;244.195.838.961.058;447.401.542.663.574;668.383.093.173.733;329.090.647.076.645;car
300;0.190066355542182;0.166853476490658;971.081.295.110.867;303.956.130.302.041;313.007.913.788.864;513.539.733.886.719;8.241.819.202.857;387.078.227.539.912;car
325;0.22462387473167;0.286932129027868;229.215.863.392.334;570.533.208.950.853;248.906.511.315.191;356.027.145.385.742;227.264.793.739.528;462.703.006.933.885;car
294.474.845.619.565;0.206646983436129;0.46774823953448;194.871.035.347.924;554.125.612.625.186;284.355.041.084.401;36.765.796.661.377;191.804.890.469.621;445.513.299.366.226;car
500;0.192684349420174;0.194778744522567;144.688.577.914.618;305.501.296.312.039;211.144.031.350.089;965.633.697.509.766;107.751.102.978.955;54.289.708.889.202;car
211;0.0539306738866248;0.0942477796076938;307.534.434.582.692;151.984.577.555.321;494.203.446.718.272;142.683.744.430.542;272.431.236.600.497;217.130.704.027.598;fad
196.856.714.178.959;0.0200712863979348;0.0907571211037051;285.931.261.346.611;820.588.885.291.781;286.988.166.815.746;796.878.337.860.107;276.615.159.531.426;200.749.336.434.656;fad
245;0.189019157990986;0.0816814089933348;629.029.550.922.835;123.598.335.588.986;196.490.507.334.127;421.520.156.860.352;466.903.554.272.282;292.376.238.446.337;fad
352.656.446.778.247;0.121998514714404;0.0907571211037051;685.278.463.866.746;10.661.578.463.393;155.580.235.270.113;436.919.250.488.281;527.928.166.701.967;38.273.318.653.545;fad
243.293.975.735.873;0.0399680398706702;0.0670206432765822;685.447.777.184.068;383.928.453.042.621;560.113.353.375.894;999.134.826.660.156;67.816.655.718.713;263.640.761.308.045;fad
259.885.145.040.755;0.0706858347057703;0.00698131700797733;582.438.072.760.283;465.087.265.038.629;7.985.179.657.547;175.068.378.448.486;563.402.407.903.478;26.751.744.602.835;fad
250;0.0680678408277788;-0.0153588974175501;571.724.311.622.728;652.901.349.369.076;114.198.633.169.183;177.769.813.537.598;557.912.695.700.096;278.308.615.158.723;fad
200;0.0376991118430775;0.117286125734019;423.166.752.874.958;220.810.906.645.982;521.805.896.010.999;106.757.640.838.623;409.478.822.684.684;218.034.313.090.691;fad
355;0.0640535835481919;0.0844739357965256;895.584.634.546.722;103.385.424.506.861;115.439.033.363.036;275.626.621.246.338;865.765.610.934.674;372.039.956.598.463;fad
272;0.0914552528045029;0.00488692190558399;637.893.803.121.922;718.946.310.198.033;112.706.269.708.129;200.855.560.302.734;606.907.291.187.748;286.920.220.323.999;fad
341.620.013.108.249;0.0919788515801011;0.0740019602845596;85.043.028.555.804;137.083.806.782.394;16.119.346.771.904;290.289.688.110.352;799.351.968.069.822;385.133.459.842.267;fad
160.322.452.510.402;0.176976386152225;0.163362817986669;372.171.240.005.076;341.881.462.236.264;91.861.333.033.579;308.891.639.709.473;207.599.103.980.379;187.566.518.243.121;fad
301.304.399.229.084;0.109781209950443;0.0356047167406844;646.161.999.260.858;942.773.190.633.816;145.903.533.744.208;290.456.771.850.586;577.200.304.354.695;335.768.458.786.601;fad
155;0.172787595947439;0.118682389135614;389.401.684.059.518;415.111.601.023.476;106.602.415.453.352;258.365.020.751.953;291.343.761.789.803;184.817.040.936.767;fad
144;0.120602251312808;0.0460766922526505;196.476.695.229.356;704.262.388.067.353;358.445.762.356.313;181.310.138.702.393;756.949.311.695.308;16.037.377.029.283;fad
178;0.170867733770245;0.212930168743308;415.421.667.584.819;489.440.520.476.331;117.817.764.133.932;357.477.951.049.805;211.623.933.117.683;215.905.934.171.477;mas
195;0.139102741383948;0.205250720034533;374.621.956.231.391;328.384.051.618.994;876.574.493.717.508;350.238.265.991.211;132.946.502.587.342;232.587.627.673.308;mas
435.093.166.648.053;0.0769690200129499;0.161268422884276;123.597.537.588.887;134.227.764.758.082;108.600.678.764.778;373.847.236.633.301;117.808.037.933.162;433.202.322.143.437;mas
250;0.0471238898038469;0.0139626340159547;709.070.400.206.956;224.145.787.342.118;316.112.176.275.722;910.217.571.258.545;70.320.400.448.993;232.277.628.818.534;mas
339.508.547.609.578;0.0453785605518526;0.0300196631343025;886.298.094.262.246;331.080.390.437.653;373.554.216.782.159;198.255.805.969.238;876.211.804.353.633;30.779.319.366.316;mas
236;0.124616508592395;0.201760061530544;484.511.296.285.364;236.880.111.461.064;488.905.239.727.472;360.066.223.144.531;324.196.702.590.704;244.965.154.560.167;mas
481.467.149.332.211;0.0785398163397448;0.0160570291183478;790.591.615.564.525;115.433.823.855.934;146.009.420.772.199;339.291.305.541.992;714.084.391.920.259;501.893.357.584.368;mas
252;0.106116018521255;0.0314159265358979;385.442.095.271.229;493.790.422.915.422;128.110.143.903.185;25.541.145.324.707;288.670.396.588.705;28.065.829.935.001;mas
172.515.797.253.303;0.127234502470387;0.0383972435438751;375.436.732.244.432;192.218.147.885.445;51.198.545.953.756;193.220.806.121.826;321.898.208.104.931;174.933.769.953.836;mas
121;0.174183859349034;0.090757121103705;244.371.804.081.128;144.466.513.203.215;591.175.048.800.861;220.210.800.170.898;105.947.082.078.457;141.766.184.893.874;mas
196.364.864.322.707;0.182910505609006;0.142418866962737;545.830.802.770.298;843.262.527.485.457;154.491.560.975.596;341.494.140.625;425.808.653.464.641;23.994.407.278.503;mas
370.395.724.690.931;0.10471975511966;0;115.923.253.115.659;130.812.043.044.167;112.843.661.239.952;313.670.310.974.121;112.715.101.601.012;365.977.651.261.771;mas
260.277.521.025.484;0.0790634151153431;0.0328121899374932;588.176.114.077.378;277.259.034.285.201;471.387.782.756.384;178.686.695.098.877;560.376.840.227.143;248.623.412.240.774;mas
544.654.349.472.914;0.063704517697793;0.00209439510239323;100.788.080.249.327;118.929.023.328.602;117.999.095.760.529;294.122.219.085.693;96.580.149.981.286;553.358.209.876.738;mas
310;0.174707458124632;0.165457213089062;985.099.614.228.755;27.410.320.443.757;278.249.225.234.108;493.278.617.858.887;85.270.009.837.962;388.977.808.360.343;mas
27.499.339.586.001;0.147131255943122;0.137531945057153;664.579.430.417.452;121.741.565.100.313;183.185.875.951.414;408.496.780.395.508;524.210.077.296.493;327.558.638.704.083;mas
281.323.262.907.681;0.232303323440445;0.437728576400178;157.884.181.186.736;530.512.320.608.109;336.013.599.728.937;46.384.334.564.209;150.916.891.735.852;398.895.548.842.381;mas
327;0.141022603561142;0.0844739357965254;762.128.681.277.287;166.467.407.612.761;218.424.278.868.196;432.216.911.315.918;627.717.028.566.584;37.926.183.862.496;mas
470.516.420.136.601;0.127409035395586;0.0663225115757847;150.224.022.278.261;265.791.036.748.851;176.929.783.078.584;475.606.307.983.398;142.496.467.975.221;491.472.488.465.138;gla
223;0.124092909816797;0.0795870138909416;330.963.349.780.813;197.012.540.529.144;59.526.996.164.264;304.548.740.386.963;129.563.896.613.932;25.248.334.783.646;gla
152;0.165806278939461;0.227590934460061;342.195.504.038.597;943.543.279.579.637;275.732.225.714.226;312.792.778.015.137;138.774.777.297.444;180.609.553.318.624;gla
303;0.0633554518473942;0.0397935069454707;225.678.927.047.635;102.500.308.989.672;454.186.442.352.399;218.308.410.644.531;572.050.062.893.356;321.646.837.362.046;gla
250;0.087091929674517;0.0928515162060983;296.375.102.856.283;180.761.243.757.504;609.906.979.417.087;261.420.974.731.445;139.632.632.318.614;28.012.290.642.627;gla
197;0.132645023151569;0.0740019602845595;334.606.529.676.018;409.647.141.271.444;122.426.523.376.003;269.928.073.883.057;197.738.131.904.017;231.783.787.614.254;gla
197;0.132645023151569;0.0740019602845595;334.606.529.676.018;409.647.141.271.444;122.426.523.376.003;269.928.073.883.057;197.738.131.904.017;231.783.787.614.254;gla
216.413.257.294.186;0.117809724509617;0.0684169066781776;53.599.600.020.862;280.445.486.473.487;523.223.095.628.199;227.905.349.731.445;485.129.740.146.471;215.372.920.069.428;gla
178;0.149574716895914;0.0991347015132779;40.290.620.975.688;474.404.699.299.565;117.745.690.637.488;259.208.278.656.006;308.454.992.657.487;209.180.737.913.068;gla
185;0.149749249821114;0.0851720674973233;398.914.092.245.255;361.747.980.316.029;906.831.789.972.525;268.607.616.424.561;294.927.795.403.204;210.178.718.819.929;gla
391;0.0581194640914112;0.0111701072127637;357.800.613.436.385;265.149.789.632.129;74.105.459.765.868;221.314.716.339.111;281.142.444.881.772;400.994.817.825.575;gla
502;0.0652753140245879;0.0279252680319093;53.239.432.993.172;834.272.730.544.547;156.702.031.490.746;333.311.424.255.371;415.147.222.364.885;544.039.414.471.334;gla
176;0.089884456477708;0.0767944870877504;205.885.241.068.022;797.054.245.831.398;387.135.202.939.612;182.264.919.281.006;957.508.785.481.926;191.992.878.511.747;gla
145;0.117635191584418;0.110304808726042;212.189.421.288.022;824.555.615.647.601;388.594.120.593.959;203.030.815.124.512;61.667.151.898.809;162.510.927.217.189;gla
124.128.728.235.411;0.131946891450771;0.108908545324446;205.926.329.442.563;783.427.938.378.093;380.440.879.269.208;184.623.985.290.527;912.120.561.093.182;134.892.696.982.857;gla
103;0.158126830230686;0.291819050933452;237.548.113.439.944;782.584.737.249.033;329.442.623.608.494;223.236.026.763.916;812.082.602.907.167;124.978.561.005.322;gla
172.408.989.444.866;0.0527089434102288;-0.0209439510239319;404.126.208.318.845;305.396.688.983.689;755.696.321.340.137;714.275.894.165.039;399.194.244.082.712;148.938.671.240.792;con
138.566.472.133.563;0.0923279174305;0.0893608577021098;202.480.043.716.995;878.502.873.275.121;433.871.337.218.299;143.092.193.603.516;143.257.780.018.786;152.460.920.399.005;con
108.424.703.722.148;0.0734783615089613;0;19.189.795.323.267;293.797.154.452.254;153.100.723.328.734;665.636.291.503.906;179.983.631.349.655;106.410.382.763.987;con
64.936.939.734.786;0.107512281922851;0.0188495559215386;20.711.169.143.365;334.443.267.750.197;161.479.666.085.069;505.474.700.927.734;200.848.714.464.978;62.390.881.411.116;con
1500;0.0565486677646163;0.0502654824574367;375.096.603.287.289;475.945.454.638.773;126.886.100.931.776;784.459.762.573.242;366.801.977.899.221;133.615.853.376.984;con
770;0.0416283303671788;0.0024345501243358;175.019.684.341.169;346.091.311.467.698;197.744.221.040.335;252.223.300.933.838;173.192.736.562.911;65.479.841.876.609;con
650;0.0410152374218667;0.145211393765928;216.811.330.444.273;427.534.067.890.303;197.191.755.160.689;337.651.634.216.309;214.165.979.545.397;528.699.233.251.062;con
691.972.031.428.465;0.0260054058547155;0.0865683308989187;190.676.691.898.684;304.270.718.131.285;159.574.154.083.268;239.757.175.445.557;189.163.330.902.433;594.315.625.555.247;con
146.175.034.243.314;0.0408407044966673;0.0495673507566389;391.846.023.400.801;557.400.281.996.608;142.249.824.856.962;572.314.796.447.754;387.643.990.858.258;142.883.997.551.337;con
149.673.605.444.631;0.103847090493663;0.0823795406941324;640.275.950.398.247;110.719.977.976.663;172.925.404.909.861;108.286.918.640.137;631.052.482.108.045;117.827.427.750.897;con
111.181.406.782.064;0.0987856356628791;0.0712094334813685;386.987.093.724.222;765.974.213.358.836;197.932.754.290.945;860.251.235.961.914;377.304.504.186.375;990.978.913.441.963;con
127.066.671.733.412;0.0788888821901437;0.0656243798749868;555.352.318.150.938;361.296.833.251.085;650.572.296.977.229;687.816.696.166.992;551.076.473.402.286;895.187.440.610.885;con
164.793.981.115.863;0.0809832772925369;0.0865683308989187;576.770.376.368.505;118.524.850.634.255;205.497.465.699.466;111.435.913.085.937;56.590.291.041.833;14.028.777.374.758;con
153.585.073.958.768;0.0884881930761125;0.00418879020478624;637.349.674.371.386;108.140.501.683.075;16.967.216.903.301;966.103.973.388.672;632.165.115.157.816;119.776.215.003.688;con
2100;0.0619591884457987;-0.0453785605518526;390.482.506.744.115;166.407.236.193.443;42.615.797.972.863;125.900.413.513.184;380.644.703.445.992;207.302.868.536.356;adi
1800;0.0342084533390889;0.0425860337486617;301.060.350.898.869;440.615.433.131.086;146.354.520.552.291;676.253.280.639.648;293.366.920.106.486;174.237.570.168.862;adi
2100;0.121649448864005;0.377689250131573;450.551.666.816.291;356.716.062.867.034;79.173.175.717.599;436.099.639.892.578;113.198.570.112.128;246.145.049.666.859;adi
166.614.878.556.408;0.0123918376891597;0.058451473742309;729.310.502.942.808;140.223.166.495.837;192.268.129.870.651;518.547.668.457.031;585.957.629.509.605;174.657.750.357.351;adi
1700;0.0439822971502571;0.105126801369333;120.653.009.636.271;123.311.030.943.741;102.203.029.427.515;120.297.317.504.883;-925.769.646.393.269;221.217.819.646.564;adi
194.911.815.467.526;0.0517983105451823;0.0165006889625862;170.331.494.852.819;321.207.705.467.434;188.577.987.732.089;101.455.848.693.848;136.819.328.592.484;194.136.738.318.633;adi
1850;0.0791491625313999;0.0694701804155463;253.621.455.060.635;131.132.030.948.392;517.038.398.494.484;160.065.460.205.078;196.730.497.964.074;191.698.536.508.966;adi
2350;0.0815068760681352;0.271573231610318;515.289.477.102.457;277.586.402.610.935;538.699.924.888.514;289.569.061.279.297;426.231.159.917.558;245.767.673.562.591;adi
1800;0.0919788515801012;0.205250720034533;362.863.321.299.124;150.215.538.883.288;413.972.782.769.794;217.833.969.116.211;290.203.640.290.064;189.366.371.239.327;adi
1900;0.0544542726622231;0.11379546723003;272.618.028.870.494;748.159.346.985.443;274.435.021.808.794;138.359.268.188.477;23.489.849.580.664;192.451.789.534.962;adi
1800;0.0691150383789755;0.15707963267949;385.564.704.348.988;138.317.248.887.707;358.739.395.301.369;157.570.007.324.219;351.897.477.427.701;182.303.236.416.567;adi
1850;0.0733038285837618;0.225496539357668;325.191.542.264.187;864.498.423.663.833;265.842.837.622.607;208.739.974.975.586;249.353.486.259.503;190.817.723.866.495;adi
1650;0.0476474885794452;0.0432841654494595;27.442.617.749.618;582.489.519.157.808;212.257.272.419.253;812.395.706.176.758;262.125.655.877.323;160.307.034.762.068;adi
2800;0.0830776723949301;0.184306769010601;583.259.257.483.374;313.886.528.822.211;538.159.531.623.308;298.582.977.294.922;501.038.494.382.153;289.658.248.330.353;adi
232.984.013.790.489;0.0661479786505851;0.353254640603652;377.253.367.797.768;253.690.399.246.382;672.466.890.692.879;336.075.164.794.922;171.387.226.770.325;268.643.534.627.075;adi
2400;0.0841248699461267;0.220609617452083;596.041.955.511.357;379.392.555.708.483;636.519.882.871.322;261.348.175.048.828;535.689.408.568.709;244.777.235.347.642;adi
2000;0.0671951762017817;0.124267442741996;33.027.164.563.135;153.810.976.865.603;465.710.511.029.719;169.197.982.788.086;28.363.956.437.701;206.307.321.206.771;adi
2000;0.106988683147252;0.105417886820458;520.222.649.205.155;400.879.209.837.665;77.059.161.197.646;204.090.347.290.039;478.517.223.161.507;208.864.887.016.928;adi
2600;0.200538331054148;0.208043246837724;106.344.142.747.282;174.480.476.217.939;16.407.154.330.312;418.687.286.376.953;977.552.367.243.352;266.458.362.305.616;adi
